Kickstart_Version;Kickstart_VersionFriendlyName;InstallSequence;ADF_Name;FriendlyName;AmigaFiletoInstall;DrivetoInstall;LocationtoInstall;NewFileName;ExcludedFolders;ExcludedFiles;Uncompress;ModifyScript;ScriptNameofChange;ScriptInjectionStartPoint;ScriptInjectionEndPoint;ModifyInfoFileTooltype
3.1;3.1;1;Workbench3_1;Workbench 3.1;*;System;;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Extras3_1;Extras 3.1;*;System;;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Fonts3_1;Fonts 3.1;*;System;Fonts;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;DataTypes;System;Storage/DataTypes;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;DOSDrivers;System;Storage/DOSDrivers;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;Keymaps;System;Storage/KeyMaps;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;Monitors;System;Storage/Monitors;;;;FALSE;FALSE;;;;FALSE
;;;Storage3_1;Storage 3.1;Monitors/NTSC;System;Devs/Monitors;;;;FALSE;FALSE;;;;FALSE
;;;Storage3_1;Storage 3.1;Monitors/PAL;System;Devs/Monitors;;;;FALSE;FALSE;;;;FALSE
;;;Storage3_1;Storage 3.1;Monitors/NTSC.info;System;Devs/Monitors;;;;FALSE;FALSE;;;;FALSE
;;;Storage3_1;Storage 3.1;Monitors/PAL.info;System;Devs/Monitors;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;Printers;System;Storage/Printers;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Storage3_1;Storage 3.1;*.info;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Locale3_1;Locale 3.1;*;System;Locale;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;C/Iconpos;System;C;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/S;System;S;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/BRU;System;Tools;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/HDBackup;System;Tools;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/HDToolbox;System;Tools;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/HDBackup.info;System;Tools;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;HDTools/HDToolbox.info;System;Tools;HDToolBoxPi3.info;;;FALSE;FALSE;;;;Modify
3.1;3.1;1;Install3_1;Install 3.1;HDTools/HDToolbox.info;System;Tools;HDToolBoxPi4.info;;;FALSE;FALSE;;;;Modify
3.1;3.1;1;Install3_1;Install 3.1;Libs;System;Libs;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;Prefs;System;Prefs;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;2;Install3_1;Install 3.1;Update/Disk.info;System;;;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Install3_1;Install 3.1;Update/Startup-HardDrive;System;S;Startup-Sequence;;;FALSE;FALSE;;;;FALSE
3.1;3.1;1;Workbench3_1;Workbench 3.1;System.info;System;;Storage.info;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Install3_2;Install 3.2;HDTools/HDToolBox;System;Tools;;;;FALSE;FALSE;;;;FALSE
;;1;Install3_2;Install 3.2;HDTools/HDToolbox.info;System;Tools;HDToolBoxPi3.info;;;FALSE;FALSE;;;;Modify
;;1;Install3_2;Install 3.2;HDTools/HDToolbox.info;System;Tools;HDToolBoxPi4.info;;;FALSE;FALSE;;;;Modify
3.2;3.2.2.1;1;Install3_2;Install 3.2;Libs/icon.library;System;Libs;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Install3_2;Install 3.2;Libs/workbench.library;System;Libs;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Install3_2;Install 3.2;Storage.info;System;;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Install3_2;Install 3.2;C/Iconpos;System;C;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Workbench3_2;Workbench 3.2;*;System;;;Locale;Disk.info;FALSE;FALSE;;;;FALSE
;;;DiskDoctor3_2;DiskDoctor 3.2;C/DAControl;System;C;;;;FALSE;FALSE;;;;FALSE
;;;DiskDoctor3_2;DiskDoctor 3.2;C/DiskDoctor;System;C;;;;FALSE;FALSE;;;;FALSE
;;;DiskDoctor3_2;DiskDoctor 3.2;Devs/trackfile.device;System;Devs;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Locale3_2;Locale 3.2;Countries;System;Locale/Countries;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Locale3_2;Locale 3.2;Catalogs;System;Locale/Catalogs;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Locale3_2;Locale 3.2;Support/Fonts;System;Fonts;;;;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleDE3_2;LocaleDE 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleDK3_2;LocaleDK 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleEN3_2;LocaleEN 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleES3_2;LocaleES 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleFR3_2;LocaleFR 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocaleGR3_2;LocaleGR 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
